RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634638,AP Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1
2,15647347,AP Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,15619340,AP Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
4,15701390,AP Boni,699,France,Female,39,1,0,2,0,0,93826.63,0
5,15737924,AP Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
6,15574048,AP Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
7,15592567,AP Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0
8,15656184,AP Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
9,15792401,AP He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
10,15592425,AP H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
11,15767857,AP Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
12,15737209,AP Andrews,497,Spain,Male,24,3,0,2,1,0,76390.01,0
13,15632300,AP Kay,476,France,Female,34,10,0,2,1,0,26260.98,0
14,15691519,AP Chin,549,France,Female,25,5,0,2,0,0,190857.79,0
15,15600918,AP Scott,635,Spain,Female,35,7,0,2,1,1,65951.65,0
16,15644002,AP Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
17,15737488,AP Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
18,15788254,AP Henderson,549,Spain,Female,24,9,0,2,1,1,14406.41,0
19,15661543,AP Muldrow,587,Spain,Male,45,6,0,1,0,0,158684.81,0
20,15569018,AP Hao,726,France,Female,24,6,0,2,1,1,54724.03,0
21,15577693,AP McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0
22,15597981,AP Dellucci,636,Spain,Female,32,8,0,2,1,0,138555.46,0
